id,x,y,weight,label
0,-2.03659,-1.79471,1,s
1,-0.990019,-1.98992,1,b
2,0.13876,-1.3626,1,s
3,1.30629,-2.03835,1,b
4,1.79385,-2.28075,1,s
5,-2.23182,-1.60459,1,b
6,-1.26839,-1.0554,1,s
7,-0.0221215,-0.886926,1,b
8,1.42069,-1.10057,1,s
9,2.36346,-1.08553,1,b
10,-2.39428,-0.141288,1,s
11,-0.49802,-0.121682,1,b
12,-0.182088,-0.296436,1,s
13,1.33141,-0.291525,1,b
14,2.04762,0.425452,1,s
15,-1.82961,1.15468,1,b
16,-0.664976,0.569283,1,s
17,0.282302,0.874629,1,b
18,0.959546,1.22383,1,s
19,2.02875,1.00565,1,b
20,-2.04735,2.33065,1,s
21,-0.960217,2.03808,1,b
22,0.297181,2.27902,1,s
23,0.777429,2.60143,1,b
24,2.23274,2.40359,1,s
25,-2.1484,-2.17406,1,s
26,-0.72546,-2.37236,1,b
27,0.165614,-2.27764,1,s
28,0.78871,-2.11502,1,b
29,1.89278,-2.13483,1,s
30,-1.64067,-0.790751,1,b
31,-1.49656,-0.978942,1,s
32,0.497094,-0.952692,1,b
33,0.440026,-0.258845,1,s
34,1.41421,-1.64007,1,b
35,-2.04657,0.35221,1,s
36,-0.38832,-0.3219,1,b
37,0.0930978,-0.0463019,1,s
38,1.47112,0.31688,1,b
39,2.0741,0.00246513,1,s
40,-2.44099,1.43367,1,b
41,-1.24846,0.80539,1,s
42,-0.148814,1.67399,1,b
43,1.07623,0.457914,1,s
44,1.99676,1.07676,1,b
45,-2.05549,1.71555,1,s
46,-1.14852,2.07343,1,b
47,0.594542,2.06976,1,s
48,0.920782,2.26804,1,b
49,1.77358,2.22692,1,s
50,-2.03578,-1.80555,1,s
51,-1.39162,-2.09325,1,b
52,0.121175,-2.04499,1,s
53,0.969709,-2.22357,1,b
54,1.78368,-2.08121,1,s
55,-1.75972,-0.760328,1,b
56,-1.05463,-1.47329,1,s
57,-0.503206,-0.956672,1,b
58,1.12538,-1.23017,1,s
59,1.68773,-1.49029,1,b
60,-1.61972,0.33648,1,s
61,-1.45558,0.077822,1,b
62,-0.215803,-0.0535194,1,s
63,1.02486,0.129092,1,b
64,2.12819,0.177593,1,s
65,-1.91102,0.787308,1,b
66,-0.640229,0.83608,1,s
67,-0.113511,0.88508,1,b
68,0.96371,0.962744,1,s
69,2.10658,0.626765,1,b
70,-1.68458,2.17264,1,s
71,-0.763897,2.03401,1,b
72,0.00715941,2.64467,1,s
73,0.977131,1.96148,1,b
74,1.69489,2.07425,1,s
75,-1.84303,-1.90491,1,s
76,-0.839608,-1.88805,1,b
77,0.366138,-1.76215,1,s
78,1.42166,-2.06485,1,b
79,1.63841,-2.1525,1,s
80,-2.53514,-0.61896,1,b
81,-0.964144,-1.05023,1,s
82,-0.107978,-0.472199,1,b
83,1.17112,-1.00984,1,s
84,2.45009,-1.01288,1,b
85,-2.32198,-0.0236191,1,s
86,-1.04996,0.0993005,1,b
87,-0.541132,-0.323403,1,s
88,0.865308,0.656007,1,b
89,1.8345,-0.26842,1,s
90,-2.37191,1.22102,1,b
91,-1.51796,1.12879,1,s
92,-0.360428,1.32671,1,b
93,0.701811,0.718436,1,s
94,1.80285,0.424673,1,b
95,-2.28223,1.70639,1,s
96,-0.691102,2.03166,1,b
97,0.234198,2.36798,1,s
98,0.405006,1.48897,1,b
99,2.1308,1.56123,1,s
100,-1.86016,-1.54768,1,s
101,-1.15084,-2.14318,1,b
102,-0.245139,-1.93769,1,s
103,1.19438,-2.41332,1,b
104,1.72409,-1.83155,1,s
105,-1.79913,-0.974865,1,b
106,-0.998362,-1.31182,1,s
107,-0.316992,-0.709069,1,b
108,0.915707,-0.818681,1,s
109,1.90854,-0.775356,1,b
110,-1.61373,-0.201894,1,s
111,-1.20298,-0.107039,1,b
112,-0.0431521,-0.187551,1,s
113,1.19761,-0.464584,1,b
114,2.17438,-0.353134,1,s
115,-1.81472,1.34354,1,b
116,-0.723483,1.10434,1,s
117,-0.582134,1.05231,1,b
118,1.16202,0.771708,1,s
119,1.92006,1.22609,1,b
120,-2.11708,1.82471,1,s
121,-0.850398,1.91324,1,b
122,0.00707911,2.09339,1,s
123,1.44734,1.69568,1,b
124,2.03935,1.91065,1,s
125,-1.84261,-1.44564,1,s
126,-1.71667,-1.54274,1,b
127,-0.241846,-2.19169,1,s
128,1.24975,-2.60324,1,b
129,1.90594,-2.33797,1,s
130,-2.42249,-0.265175,1,b
131,-1.12797,-0.216994,1,s
132,0.267937,-0.642401,1,b
133,1.36371,-0.550146,1,s
134,1.96771,-1.08498,1,b
135,-2.23964,-0.0481789,1,s
136,-0.794893,-0.212223,1,b
137,0.0370957,0.355017,1,s
138,0.851078,-0.194106,1,b
139,1.99077,-0.405408,1,s
140,-1.77109,0.723433,1,b
141,-0.842815,0.145946,1,s
142,-0.0357628,1.24612,1,b
143,1.04485,1.03656,1,s
144,2.22046,1.47918,1,b
145,-2.12353,1.91094,1,s
146,-0.850418,1.73214,1,b
147,-0.208665,2.21483,1,s
148,0.953709,1.90664,1,b
149,1.64311,2.3316,1,s
150,-2.5029,-2.25355,1,s
151,-0.652367,-1.72913,1,b
152,0.412831,-1.79969,1,s
153,0.94568,-1.82451,1,b
154,1.97212,-1.88001,1,s
155,-1.55214,-0.80574,1,b
156,-1.00003,-0.750428,1,s
157,-0.161398,-1.0584,1,b
158,1.03278,-1.26166,1,s
159,1.82877,-0.695717,1,b
160,-1.50723,-0.157319,1,s
161,-0.696432,-0.285625,1,b
162,-0.0209942,0.133722,1,s
163,0.56213,0.539218,1,b
164,1.50629,0.120036,1,s
165,-1.8399,0.943601,1,b
166,-1.45136,1.23661,1,s
167,0.100344,0.670762,1,b
168,0.745048,0.871883,1,s
169,1.84955,0.79881,1,b
170,-1.73524,1.68416,1,s
171,-0.959556,2.37843,1,b
172,-0.156443,2.07315,1,s
173,0.850354,2.09557,1,b
174,1.93812,2.33126,1,s
175,-1.94889,-1.83739,1,s
176,-1.3974,-2.21551,1,b
177,-0.176372,-2.77609,1,s
178,1.62091,-1.42973,1,b
179,1.61029,-2.20838,1,s
180,-2.05756,-1.04089,1,b
181,-1.08382,-0.620549,1,s
182,0.41395,-0.364549,1,b
183,0.737184,-0.844119,1,s
184,2.33445,-0.847548,1,b
185,-2.15056,-0.513482,1,s
186,-0.839761,-0.0247485,1,b
187,-0.181265,0.034571,1,s
188,0.665119,-0.255982,1,b
189,1.78656,0.196318,1,s
190,-1.83967,0.785494,1,b
191,-0.880695,1.52087,1,s
192,-0.26559,0.5367,1,b
193,1.21759,0.377358,1,s
194,1.86472,1.21582,1,b
195,-1.96113,1.72449,1,s
196,-0.79978,1.33533,1,b
197,-0.151198,2.3564,1,s
198,1.1173,1.85806,1,b
199,1.89337,1.75153,1,s
200,-1.4573,-2.3689,1,s
201,-0.414688,-1.97488,1,b
202,0.756212,-2.26357,1,s
203,0.653272,-1.71145,1,b
204,1.79664,-2.35296,1,s
205,-2.30358,-0.944323,1,b
206,-0.48839,-0.46064,1,s
207,0.290372,-1.3532,1,b
208,1.32651,-1.39937,1,s
209,2.04914,-0.619537,1,b
210,-1.63672,-0.152405,1,s
211,-0.806047,0.00627858,1,b
212,-0.335071,0.176673,1,s
213,0.883616,0.277523,1,b
214,2.3614,-0.161361,1,s
215,-2.51532,0.801237,1,b
216,-1.11142,0.827834,1,s
217,-0.165519,1.16512,1,b
218,1.1848,0.829024,1,s
219,1.99545,0.924268,1,b
220,-1.81012,1.60285,1,s
221,-1.09397,2.40376,1,b
222,-0.571,1.70091,1,s
223,1.15506,1.80597,1,b
224,1.87406,2.0219,1,s
225,-1.33178,-2.14091,1,s
226,-1.04953,-1.83359,1,b
227,0.082066,-1.75888,1,s
228,0.605276,-2.09967,1,b
229,2.75615,-2.23867,1,s
230,-1.95755,-1.29881,1,b
231,-0.813952,-1.05185,1,s
232,0.106673,-1.38061,1,b
233,0.72373,-1.06767,1,s
234,2.13776,-1.11761,1,b
235,-2.25093,0.190819,1,s
236,-0.885672,0.0216728,1,b
237,-0.342486,0.0790982,1,s
238,0.685217,-0.276619,1,b
239,1.42758,0.163351,1,s
240,-2.17488,0.849051,1,b
241,-1.10328,0.892184,1,s
242,0.18889,0.797414,1,b
243,0.71149,1.16156,1,s
244,1.90887,0.888482,1,b
245,-1.58519,2.14464,1,s
246,-0.452055,1.85141,1,b
247,-0.227891,2.04041,1,s
248,0.764509,2.28693,1,b
249,2.05398,1.99069,1,s
250,-2.41169,-2.11912,1,s
251,-1.04135,-2.48629,1,b
252,0.00696676,-3.12475,1,s
253,1.14797,-2.56984,1,b
254,2.11816,-1.71836,1,s
255,-2.69192,-1.17874,1,b
256,-0.946564,-0.668438,1,s
257,-0.321285,-0.752529,1,b
258,1.05931,-1.05182,1,s
259,1.83406,-1.24465,1,b
260,-1.72411,-0.497754,1,s
261,-1.18077,-0.249517,1,b
262,0.319052,-0.423052,1,s
263,0.959571,-0.103959,1,b
264,2.12261,-0.289918,1,s
265,-2.45982,0.709228,1,b
266,-0.661905,0.923245,1,s
267,0.21431,1.10693,1,b
268,1.08974,0.329458,1,s
269,1.45709,0.614146,1,b
270,-1.91855,2.44954,1,s
271,-1.26503,2.20994,1,b
272,-0.211135,1.33301,1,s
273,0.887944,2.22777,1,b
274,1.49399,2.1081,1,s
275,-2.31648,-2.46448,1,s
276,-0.488866,-2.13665,1,b
277,-0.186291,-2.00808,1,s
278,0.751534,-2.05061,1,b
279,1.76219,-2.35735,1,s
280,-1.8745,-1.26393,1,b
281,-0.932125,-0.911636,1,s
282,0.0175774,-1.06182,1,b
283,1.05954,-1.33326,1,s
284,1.55836,-1.26953,1,b
285,-2.39621,0.393915,1,s
